#   Full data used in Becker et al. 2018
# data sources: K2 campaign 5 (K2 C5)
#               K2 campaign 18 (K2 C18)
#               HATNet survey (HAT)
#               Kelt (KELT)
#               WASP (WASP)
#   Errors are uniquely derived for HAT/KELT/WASP
# data sets. 
#   In the paper, we scale errors so that flat line 
# model has a chi-sq of 1, but that scaling is not
# reflected in this data file. 
#   K2 errors are set to the K2 precision for each 
# K2 campaign.
# Flux and error are normalized.
# BJD and BJD-2454833 are given in days.
#
,BJD,BJD-2454833,Flux,Error,Data_Source
350,2457147.988,2314.9877,0.99995464,3.80E-05,K2 C5
351,2457148.008,2315.0082,0.99994491,3.80E-05,K2 C5
352,2457148.029,2315.0286,1.0000085,3.80E-05,K2 C5
353,2457148.049,2315.049,0.99999253,3.80E-05,K2 C5
354,2457148.07,2315.0695,0.99997737,3.80E-05,K2 C5
355,2457148.09,2315.0899,0.99999324,3.80E-05,K2 C5
356,2457148.11,2315.1103,1.0000402,3.80E-05,K2 C5
357,2457148.131,2315.1308,1.0000065,3.80E-05,K2 C5
358,2457148.151,2315.1512,1.0000418,3.80E-05,K2 C5
359,2457148.172,2315.1716,1.0000533,3.80E-05,K2 C5
360,2457148.192,2315.1921,1.0000213,3.80E-05,K2 C5
361,2457148.213,2315.2125,1.0000548,3.80E-05,K2 C5
362,2457148.233,2315.2329,1.000008,3.80E-05,K2 C5
363,2457148.253,2315.2534,0.99998704,3.80E-05,K2 C5
364,2457148.274,2315.2738,1.0000849,3.80E-05,K2 C5
365,2457148.294,2315.2942,0.99996889,3.80E-05,K2 C5
366,2457148.315,2315.3146,0.99998823,3.80E-05,K2 C5
367,2457148.335,2315.3351,1.000033,3.80E-05,K2 C5
368,2457148.356,2315.3555,1.0000146,3.80E-05,K2 C5
369,2457148.396,2315.3964,0.99991454,3.80E-05,K2 C5
370,2457148.417,2315.4168,1.0000022,3.80E-05,K2 C5
371,2457148.437,2315.4372,1.0000024,3.80E-05,K2 C5
372,2457148.458,2315.4577,0.99996266,3.80E-05,K2 C5
373,2457148.478,2315.4781,1.0000225,3.80E-05,K2 C5
374,2457148.499,2315.4985,0.99999622,3.80E-05,K2 C5
375,2457148.519,2315.519,1.0000641,3.80E-05,K2 C5
376,2457148.539,2315.5394,1.0000049,3.80E-05,K2 C5
377,2457148.56,2315.5598,0.99998351,3.80E-05,K2 C5
