,trial,End_Time(yrs),whole_system_stable,planet
604,4702,25093.05481,no,1
605,4702,34858.43738,no,2
606,4703,1000614.648,yes,0
607,4703,1000614.648,yes,1
608,4703,1000614.648,yes,2
609,4704,104.016831,no,0
610,4704,104.016831,no,1
611,4704,1000614.648,no,2
612,4705,1000614.648,yes,0
613,4705,1000614.648,yes,1
614,4705,1000614.648,yes,2
615,4706,13193.52387,no,0
616,4706,463.808893,no,1
617,4706,463.808893,no,2
618,4707,1000614.648,yes,0
619,4707,1000614.648,yes,1
620,4707,1000614.648,yes,2
621,4708,27682.68024,no,0
622,4708,835.0827421,no,1
623,4708,835.0827421,no,2
624,4709,58451.15544,no,0
625,4709,85.1779968,no,1
626,4709,85.1779968,no,2
627,4710,1000614.648,yes,0
628,4710,1000614.648,yes,1
629,4710,1000614.648,yes,2
630,4711,241.1842455,no,0
631,4711,106.7877514,no,1
632,4711,106.7877514,no,2
633,4712,1000614.648,yes,0
634,4712,1000614.648,yes,1
635,4712,1000614.648,yes,2
636,4713,29571.13444,no,0
637,4713,3229.069233,no,1
638,4713,3229.069233,no,2
639,4714,1000614.648,yes,0
640,4714,1000614.648,yes,1
641,4714,1000614.648,yes,2
642,4715,1000614.648,yes,0
643,4715,1000614.648,yes,1
644,4715,1000614.648,yes,2
645,4716,1000614.648,yes,0
646,4716,1000614.648,yes,1
647,4716,1000614.648,yes,2
648,4717,18616.33945,no,0
649,4717,18616.33945,no,1
650,4717,24490.37184,no,2
651,4718,97.1531397,no,0
652,4718,97.1531397,no,1
653,4718,230.6398853,no,2
654,4719,1869.502543,no,0
655,4719,1869.502543,no,1
656,4719,2059.184296,no,2
657,4720,57534.52043,no,0
658,4720,57534.52043,no,1
659,4720,85751.1012,no,2
660,4721,1000614.648,yes,0
661,4721,1000614.648,yes,1
662,4721,1000614.648,yes,2
663,4722,1000614.648,yes,0
664,4722,1000614.648,yes,1
665,4722,1000614.648,yes,2
666,4723,1000614.648,yes,0
667,4723,1000614.648,yes,1
668,4723,1000614.648,yes,2
669,4724,3037.615254,no,0
670,4724,89.0335454,no,1
671,4724,89.0335454,no,2
672,4725,22632.22336,no,0
673,4725,22632.22336,no,1
674,4725,28254.52247,no,2
675,4726,53486.45793,no,0
676,4726,8052.047792,no,1
677,4726,8052.047792,no,2
678,4727,1000614.648,yes,0
679,4727,1000614.648,yes,1
680,4727,1000614.648,yes,2
681,4728,8195.648067,no,0
682,4728,4220.320978,no,1
683,4728,4220.320978,no,2
684,4729,669.6263037,no,0
685,4729,585.4925594,no,1
686,4729,585.4925594,no,2
687,4730,2284.217497,no,0
688,4730,356.5255655,no,1
689,4730,356.5255655,no,2
690,4731,26.4545585,no,0
691,4731,26.4545585,no,1
692,4731,102.1881233,no,2
693,4732,1000614.648,yes,0
694,4732,1000614.648,yes,1
695,4732,1000614.648,yes,2
696,4733,51483.54816,no,0
697,4733,51483.54816,no,1
698,4733,78056.25267,no,2
699,4734,1134.734252,no,0
700,4734,482.9483611,no,1
701,4734,482.9483611,no,2
702,4735,3273.095554,no,0
703,4735,6.0375005,no,1
704,4735,1000614.648,no,2
705,4736,22.2639829,no,0
706,4736,22.2639829,no,1
707,4736,5554.474327,no,2
708,4737,1000614.648,yes,0
709,4737,1000614.648,yes,1
710,4737,1000614.648,yes,2
711,4738,1000614.648,yes,0
712,4738,1000614.648,yes,1
713,4738,1000614.648,yes,2
714,4739,1000614.648,yes,0
715,4739,1000614.648,yes,1
716,4739,1000614.648,yes,2
717,4740,1000614.648,yes,0
718,4740,1000614.648,yes,1
719,4740,1000614.648,yes,2
720,4741,238223.0247,no,0
721,4741,163382.3835,no,1
722,4741,163382.3835,no,2
723,4742,29748.15445,no,0
724,4742,29748.15445,no,1
725,4742,56492.99317,no,2
726,4743,1000614.648,yes,0
727,4743,1000614.648,yes,1
728,4743,1000614.648,yes,2
729,4744,717.4886056,no,0
730,4744,717.4886056,no,1
731,4744,3860.403929,no,2
732,4745,1000614.648,yes,0
733,4745,1000614.648,yes,1
734,4745,1000614.648,yes,2
735,4746,1000614.648,yes,0
736,4746,1000614.648,yes,1
737,4746,1000614.648,yes,2
738,4748,1000614.648,yes,0
739,4748,1000614.648,yes,1
740,4748,1000614.648,yes,2
741,4749,48.7160912,no,0
742,4749,35.281063,no,1
743,4749,35.281063,no,2
744,4750,30493.88821,no,0
745,4750,29654.46571,no,1
746,4750,29654.46571,no,2
747,4751,4332.283038,no,0
748,4751,898.3826221,no,1
749,4751,898.3826221,no,2
750,4752,55154.27033,no,0
751,4752,1822.576288,no,1
752,4752,1822.576288,no,2
753,4753,4196.772109,no,0
754,4753,44.5278784,no,1
755,4753,44.5278784,no,2
756,4754,9958.79064,no,0
757,4754,9958.79064,no,1
758,4754,10045.76562,no,2
759,4755,1000614.648,yes,0
760,4755,1000614.648,yes,1
761,4755,1000614.648,yes,2
762,4756,1000614.648,yes,0
763,4756,1000614.648,yes,1
764,4756,1000614.648,yes,2
765,4757,692.2496034,no,0
